page_name;disclaimer;page_id;page_category;classification
Democratic Alliance Cradock & EC Middelburg;Democratic Alliance;101945665055819;Political party;DA
Real Reform for ECD;Equality Collective;106663871483351;Education;NGO/Civil Society
DA North East Cape Constituency;Democratic Alliance;103629318980945;Political organisation;DA
Deadline Hollywood;These ads ran without a disclaimer;105558754896;News & media website;Media Organization
Kenny Morolong;Kenny Morolong;850905551595671;NA;Unknown
SABC Education;Fortune Well;303257519793514;NA;Media Organization
Kaspersky;These ads ran without a disclaimer;127187187348820;NA;Company
Cos Turas;These ads ran without a disclaimer;106511308940838;TV programme;Unknown
TCM Originals;These ads ran without a disclaimer;101759044820561;NA;Unknown
Nicola Jowell - Ward 54;Nicola Jowell - Ward 54;510306959493838;NA;DA
DA Matjhabeng;Democratic Alliance Free State;354709835163955;NA;DA
WP Motors;These ads ran without a disclaimer;329487117136169;NA;Company
DA Ndlambe;Democratic Alliance;696300980415401;NA;DA
Jacob Zuma;Jacob Zuma;301709156360720;NA;ANC
Action SA Eastern Cape;ActionSA;108053222060253;Political organisation;ActionSA
ReStory Foundation;ReStory Foundation;1069148329765558;Non-profit organisation;NGO/Civil Society
Mpho Dagada;These ads ran without a disclaimer;286799601867802;NA;Unknown
Neighbourhood Cafe & Bar;These ads ran without a disclaimer;100299825837831;Restaurant;Company
gofundme_gaza1;These ads ran without a disclaimer;100402346452703;Profile;Unknown
hassenrasool;These ads ran without a disclaimer;100748639070727;NA;Unknown
Shine Mogale;These ads ran without a disclaimer;100793449527717;Digital creator;Unknown
Le Journal de l'Afrique;These ads ran without a disclaimer;100811872051175;Media/news company;Media Organization
Alligutter seamless gutters;These ads ran without a disclaimer;100865242376897;Contractor;Company
Jane Cowley, MPL;Democratic Alliance;100928844973434;Politician;DA
Independent Alliance IA;These ads ran without a disclaimer;101014225255542;Political party;Other Political Party
Assist Guru: AI Mobile App;These ads ran without a disclaimer;101028016417965;App Page;Company
Charming Changzhou;These ads ran without a disclaimer;101054365776547;Cultural centre;Unknown
Sunrise Fm;These ads ran without a disclaimer;101075194943289;Media;Media Organization
MostRev Abraham Thamsanqa Sibiya;These ads ran without a disclaimer;101257146145443;Digital creator;Unknown
Dalum Beverage Equipment ApS;These ads ran without a disclaimer;101663628016027;Commercial and industrial equipment supplier;Company
rupsssii;These ads ran without a disclaimer;101866667878793;Blogger;Unknown
Edge Fitness Clubs SA;These ads ran without a disclaimer;102109849197492;Gym/Physical fitness centre;Company
Ocean Purpose Project;These ads ran without a disclaimer;102303134507801;Non-governmental organisation (NGO);NGO/Civil Society
FamilyFeed;These ads ran without a disclaimer;103072574822598;News & media website;Media Organization
BRICS Global Television Network - BGTN;These ads ran without a disclaimer;103258489453937;TV network;Media Organization
hosannaholistic;These ads ran without a disclaimer;103293329420003;Profile;Unknown
Sherwood Pick n Pay, Brakpan;These ads ran without a disclaimer;103422177669894;Supermarket;Company
CNPC;These ads ran without a disclaimer;103449517822304;NA;Company
BÜŞRA;These ads ran without a disclaimer;103659628590131;Health/beauty;Unknown
Africa Connect News;These ads ran without a disclaimer;103733842360357;NA;Unknown
Koketso Mogomotsi;These ads ran without a disclaimer;103759059401656;Digital creator;Unknown
Bounty Eatery;These ads ran without a disclaimer;103767172099815;Restaurant;Company
smartmomz;These ads ran without a disclaimer;103832349331456;Children and parenting;Company
Imbizo Shisanyama at Midrand Mall;These ads ran without a disclaimer;103891441583745;Bar and grill;Company
Bruno Donat;These ads ran without a disclaimer;103954999479142;Digital creator;Unknown
Riaan Roux;The Riaan Roux Show;103986432745607;Media/news company;Media Organization
Cangzhou,China;These ads ran without a disclaimer;104022512482518;Tourist information centre;Unknown
Polygon Arena;These ads ran without a disclaimer;104092195980824;Games/toys;Unknown
My Feed Highlights;These ads ran without a disclaimer;104374676103450;Magazine;Unknown
Top Padel;These ads ran without a disclaimer;104399579240929;Sport;Company
salwasalamsalwa;These ads ran without a disclaimer;104967208947533;NA;Unknown
IZZY - Stream Israel;These ads ran without a disclaimer;105039417804164;Broadcasting & media production company;Media Organization
Prime View Adventure and Leisure;These ads ran without a disclaimer;105119078516529;Bike trail;Company
Bonsai Shongwe Page 2023;These ads ran without a disclaimer;105554609109184;Author;Unknown
Category: Woman;These ads ran without a disclaimer;105756215433186;Film;Unknown
𝗖𝗮𝗺𝗽𝗮𝗶𝗴𝗻 𝗳𝗼𝗿 𝗦𝗼𝗷𝗼𝘂𝗿𝗻𝗲𝗿 𝗧𝗿𝘂𝘁𝗵;These ads ran without a disclaimer;105888384518399;NA;Unknown
Testname-worldwide;These ads ran without a disclaimer;106000248338009;Entertainment website;Unknown
Sinopec;These ads ran without a disclaimer;1061420730573798;Petroleum service;Company
signs_4_africa;These ads ran without a disclaimer;106178157795984;Business service;Company
profkevinfenton;These ads ran without a disclaimer;106299475598378;Profile;Unknown
The Shark Bay Boutique Accommodation & Spa;These ads ran without a disclaimer;106530984305641;Spa;Company
Framboos Handcrafted Ice Cream;These ads ran without a disclaimer;106541138344405;Gelateria;Company
Govenment Approved Debt Review Program;These ads ran without a disclaimer;106863257383566;Financial service;Company
Dragons Tell Tales;These ads ran without a disclaimer;107117445556367;Magazine;Unknown
amakama_concept;These ads ran without a disclaimer;107378312035394;Profile;Unknown
ناشونال اردني jordanian national;These ads ran without a disclaimer;107648808814791;Video creator;Unknown
Glencore;These ads ran without a disclaimer;1079743815448235;Mining company;Company
How’s It Dogging?;These ads ran without a disclaimer;108018115534385;Magazine;Unknown
Harties River Hiking Trail;These ads ran without a disclaimer;108548490980255;Hiking trail;Company
calistosperiperisa;These ads ran without a disclaimer;109186875417831;Profile;Unknown
PlantVillage;These ads ran without a disclaimer;109238283936208;Non-profit organisation;NGO/Civil Society
Rugby Punt-it;These ads ran without a disclaimer;109257094201399;Media/news company;Media Organization
Kai Thai Spa South Africa;These ads ran without a disclaimer;109454113737964;Health/beauty;Company
Islove;These ads ran without a disclaimer;109814071606227;Health & wellness website;Unknown
eonhendrikse;These ads ran without a disclaimer;110241118333560;NA;Unknown
voestalpine Tubulars;These ads ran without a disclaimer;110860517186353;Product/service;Company
Clay Cafe George;These ads ran without a disclaimer;111441661881496;Restaurant;Company
Boh Bohh;These ads ran without a disclaimer;112339478432154;Digital creator;Unknown
HIX.AI;These ads ran without a disclaimer;112492168560432;Software;Company
Economic Daily, China;These ads ran without a disclaimer;112757083778788;Interest;Unknown
WorldOrder.News;These ads ran without a disclaimer;113205131621824;News & media website;Media Organization
Illuminati grand lodge usa;These ads ran without a disclaimer;113301133395169;NA;Unknown
Giggle Gems;These ads ran without a disclaimer;113555541833645;NA;Unknown
Media Forensics Hub Research;These ads ran without a disclaimer;113562841839927;NA;Unknown
Daily Voice;These ads ran without a disclaimer;113743842023920;Media/news company;Media Organization
Team Lynne & Juanita at RE/MAX Dazzle Boksburg;These ads ran without a disclaimer;113745792014409;NA;Company
Wisdom well;These ads ran without a disclaimer;114567731730963;Magazine;Unknown
Know it all;These ads ran without a disclaimer;116264741559598;NA;Unknown
Pambili Natural Resources Corporation;These ads ran without a disclaimer;1165517400171924;NA;Company
Story time;These ads ran without a disclaimer;118271861357765;Magazine;Unknown
Міжнародне радіо Китаю;These ads ran without a disclaimer;1210034445780962;NA;Unknown
DHL Motorsports;These ads ran without a disclaimer;121350964566751;NA;Company
Great Vision Projects;These ads ran without a disclaimer;129433610260389;NA;Unknown
Southern Sun;These ads ran without a disclaimer;130105057816;NA;Company
anotherloveproductions;These ads ran without a disclaimer;130390936835341;NA;Unknown
MDPI;These ads ran without a disclaimer;131189377574;Publisher;Unknown
CCCC Tanzania;These ads ran without a disclaimer;133012216556273;NA;Unknown
SofaScene Your LifeStyle Collection;These ads ran without a disclaimer;134153360501786;NA;Company
Homes of Distinction;These ads ran without a disclaimer;135362976558257;NA;Company
Geselsnet;The Riaan Roux Show;136360389566174;Media/news company;Media Organization
ontbytSAKE;These ads ran without a disclaimer;137999536277468;NA;Unknown
Fanack.com of the Middle East and North Africa;These ads ran without a disclaimer;138756620064262;NA;Unknown
Noble Nomads GmbH;These ads ran without a disclaimer;1394789834101846;NA;Company
The Rock ZA;These ads ran without a disclaimer;141565316503104;NA;Unknown
Inside Education;Inside Education;1442286572460668;Education;Media Organization
Economist Impact;These ads ran without a disclaimer;144580066134672;Media/news company;Media Organization
Kudos: Science needs Stories;These ads ran without a disclaimer;144858089034875;NA;Unknown
Soul Souvlaki;These ads ran without a disclaimer;145385835323451;NA;Company
Amit;These ads ran without a disclaimer;146841362045058;NA;Unknown
Netafim;These ads ran without a disclaimer;147109888636038;NA;Company
Beach and Bush Team Building;These ads ran without a disclaimer;1471121206480287;NA;Company
Sounda;These ads ran without a disclaimer;147460752380358;NA;Unknown
Caminettos Pasta & Pizzeria;These ads ran without a disclaimer;152505518147349;NA;Company
World Bank;These ads ran without a disclaimer;153371894688575;Organisation;Unknown
Vox Weather;These ads ran without a disclaimer;153721696786166;NA;Unknown
Labour Research Service;Labour Research Service;1537445366507250;NA;NGO/Civil Society
Daniel Eisenman: The Freedom Catalyst;These ads ran without a disclaimer;153967071280480;NA;Unknown
The Calabash Grill & Cocktail Bar;These ads ran without a disclaimer;1551302135130394;NA;Company
Basil Tryon Ministries - Reigning as Kings;These ads ran without a disclaimer;156684584363700;NA;Unknown
financeiramente_consciente;These ads ran without a disclaimer;157887764064191;NA;Unknown
Custom Content from WSJ;These ads ran without a disclaimer;1579920062256328;NA;Media Organization
The Jerusalem Post;These ads ran without a disclaimer;159050394216641;News & media website;Media Organization
Tatenda Thom;These ads ran without a disclaimer;159831677218497;NA;Unknown
Industrial Coffee Works;These ads ran without a disclaimer;1611769522469979;NA;Company
semayildirimozkaya;These ads ran without a disclaimer;163185606883486;NA;Unknown
DR Asiya;These ads ran without a disclaimer;165215216681911;NA;Unknown
CGTN Français;These ads ran without a disclaimer;169799706487474;NA;Media Organization
RenuTek;These ads ran without a disclaimer;173771992497262;NA;Unknown
Sneaker Bar;These ads ran without a disclaimer;174447543164805;NA;Unknown
Mzwanele Nyhontso;These ads ran without a disclaimer;176358072227397;NA;Unknown
Aman Sahu;These ads ran without a disclaimer;177313088803979;NA;Unknown
Dr. Jeffrey Nall;These ads ran without a disclaimer;177380625645754;NA;Unknown
Natura;These ads ran without a disclaimer;179496628819948;NA;Unknown
Cape Town Fish Market Bloubergstrand;These ads ran without a disclaimer;179939728828598;NA;Company
BBC StoryWorks;These ads ran without a disclaimer;1834313933459789;Media agency;Media Organization
Conservation Frontlines;These ads ran without a disclaimer;184197442480974;NA;Unknown
Association Fatimatou ZAHRA-as;These ads ran without a disclaimer;184534684745255;NA;Unknown
News Moves Markets Forex;These ads ran without a disclaimer;1876706275875274;NA;Company
Queer Majority;These ads ran without a disclaimer;1883003128429295;Magazine;Media Organization
B3 Festival of the Moving Image;These ads ran without a disclaimer;193105940867727;NA;Unknown
Need Prayer?;These ads ran without a disclaimer;194440870415229;NA;Unknown
Bridges For Peace;These ads ran without a disclaimer;194589830623431;NA;Unknown
Beau Constantia;These ads ran without a disclaimer;196816413709768;NA;Company
Dean Murray Attorneys;These ads ran without a disclaimer;197869973390147;NA;Company
George Herald;These ads ran without a disclaimer;201175613228571;NA;Media Organization
JaneDoe Offical;These ads ran without a disclaimer;201531256368419;NA;Unknown
Kathleen Davies;These ads ran without a disclaimer;204605606072944;NA;Unknown
Driving Fun & Family Car Reviews;These ads ran without a disclaimer;2065787143733742;NA;Company
Fun magazine express;These ads ran without a disclaimer;209340868917792;NA;Unknown
Bert Pretorius;These ads ran without a disclaimer;210150229021121;NA;Unknown
Palestinelivesmatter;These ads ran without a disclaimer;211928638679961;NA;NGO/Civil Society
Drommedaris;These ads ran without a disclaimer;212824888830163;NA;Unknown
Briewe uit Suburbia;These ads ran without a disclaimer;214152568445659;NA;Unknown
Africa Now News;These ads ran without a disclaimer;214317068436721;NA;Media Organization
Avon Worldwide;These ads ran without a disclaimer;216741958412414;NA;Company
mixedracefaces;These ads ran without a disclaimer;216746035789038;NA;Unknown
A’Dorian Murray-Thomas  Newark Public Schools Board Member;These ads ran without a disclaimer;2168754326748026;NA;Unknown
Bare Laser Claremont - Head Office;These ads ran without a disclaimer;217900491412770;NA;Company
Deli-icious! Catering;These ads ran without a disclaimer;218105431538376;NA;Company
Echoes Of Palestine;These ads ran without a disclaimer;222801630909735;NA;Unknown
China Plus Culture;These ads ran without a disclaimer;223495844457800;Media/news company;Media Organization
Meraki Lifestyle Brand;These ads ran without a disclaimer;224860895069589;NA;Company
Radio Pulpit / Radiokansel;These ads ran without a disclaimer;227337655573;NA;Media Organization
Return to Palestine;These ads ran without a disclaimer;227720030425230;NA;Unknown
SA United;These ads ran without a disclaimer;228859483641441;NA;Unknown
Gias on Montrose;These ads ran without a disclaimer;240954152636643;NA;Unknown
barelasersa;These ads ran without a disclaimer;243336612199878;NA;Unknown
nan_m_tnt_;These ads ran without a disclaimer;244304762103091;NA;Unknown
ONE FOR ISRAEL Ministry;These ads ran without a disclaimer;244347532249880;NA;NGO/Civil Society
Luke Storey;These ads ran without a disclaimer;244863282203833;NA;Unknown
Africamps;These ads ran without a disclaimer;246226188858269;NA;Company
AI Pixel Art 01;These ads ran without a disclaimer;247959751735075;NA;Unknown
Mohamed Elmay - Free Palestine;These ads ran without a disclaimer;252749124591010;NA;Unknown
Uniathena;These ads ran without a disclaimer;2610140028997323;NA;Unknown
AI Pixel Art-US 03;These ads ran without a disclaimer;261822930353726;NA;Unknown
HelloVoice-AI music&CloneVoice;These ads ran without a disclaimer;263116113542988;NA;Company
Centurion Mall;These ads ran without a disclaimer;263540152750;NA;Company
climatetechh;These ads ran without a disclaimer;264202573445618;NA;Unknown
BMT College;These ads ran without a disclaimer;266093635653;NA;Company
NRD Companies;These ads ran without a disclaimer;267410650127820;Software company;Company
The Daily Joy;These ads ran without a disclaimer;269684699555401;NA;Unknown
Beyond Our Blood;These ads ran without a disclaimer;273651442488303;NA;Unknown
aljamaah_gauteng;These ads ran without a disclaimer;280876125117141;NA;Al Jama-ah
Klitschko;These ads ran without a disclaimer;285530825204;NA;Unknown
Rainbow Outfit;These ads ran without a disclaimer;285991307934065;NA;Unknown
Business Day;These ads ran without a disclaimer;286638794693284;NA;Media Organization
VF Plus - Mangaung;Vryheidsfront Plus / Freedom Front Plus;294423204490645;NA;Vryheidsfront Plus
Marcel empowerment $ Encouragement;These ads ran without a disclaimer;299491296588791;NA;Unknown
Wiesenhof Lifestyle Franschhoek;These ads ran without a disclaimer;307287652458572;NA;Company
Deutschland.de;These ads ran without a disclaimer;31292782350;News & media website;Media Organization
The Amar Chitra Katha Studio;These ads ran without a disclaimer;313807031993827;NA;Unknown
Hogshead Rock Cottage;These ads ran without a disclaimer;320599524681736;NA;Unknown
"Lo""Phez Beauty Lounge";These ads ran without a disclaimer;326104773909205;NA;Company
Mykonos Restaurant Cavendish;These ads ran without a disclaimer;330103593682172;NA;Company
Amazing South Africa;These ads ran without a disclaimer;333932807038441;NA;Unknown
Malt Barrel & Fire;These ads ran without a disclaimer;339594906853535;NA;Company
